ds,y
4/10/22,329.42
4/11/22,329.99
4/12/22,328.57
4/13/22,324.03
4/14/22,322.62
4/15/22,316.66
4/16/22,320.63
4/17/22,314.96
4/18/22,307.03
4/19/22,302.21
4/20/22,282.36
4/21/22,313.55
4/22/22,314.4
4/23/22,326.02
4/24/22,325.17
4/25/22,325.45
4/26/22,320.92
4/27/22,321.77
4/28/22,321.2
4/29/22,310.14
4/30/22,323.18
5/1/22,324.03
5/2/22,322.33
5/3/22,322.05
5/4/22,319.5
5/5/22,317.23
5/6/22,302.21
5/7/22,318.93
5/8/22,318.08
5/9/22,320.63
5/10/22,313.55
5/11/22,314.11
5/12/22,308.16
5/13/22,307.31
5/14/22,314.96
5/15/22,314.96
5/16/22,309.58
5/17/22,310.71
5/18/22,314.68
5/19/22,314.4
5/20/22,309.58
5/21/22,318.93
5/22/22,319.5
5/23/22,316.95
5/24/22,310.71
5/25/22,311.56
5/26/22,305.04
5/27/22,297.39
5/28/22,303.34
5/29/22,304.19
5/30/22,299.65
5/31/22,312.13
6/1/22,305.89
6/2/22,303.91
6/3/22,299.37
6/4/22,306.46
6/5/22,308.16
6/6/22,310.71
6/7/22,305.89
6/8/22,304.47
6/9/22,300.5
6/10/22,301.36
6/11/22,306.46
6/12/22,304.76
6/13/22,302.21
6/14/22,285.2
6/15/22,295.4
6/16/22,298.52
6/17/22,295.4
6/18/22,304.47
6/19/22,301.64
6/20/22,299.65
6/21/22,294.55
6/22/22,296.82
6/23/22,297.1
6/24/22,291.72
6/25/22,297.95
6/26/22,299.09
6/27/22,297.67
6/28/22,294.55
6/29/22,293.7
6/30/22,290.3
7/1/22,282.93
7/2/22,288.88
7/3/22,287.18
7/4/22,283.21
7/5/22,293.98
7/6/22,292.57
7/7/22,288.31
7/8/22,287.46
7/9/22,297.95
7/10/22,299.37
7/11/22,299.65
7/12/22,295.69
7/13/22,296.54
7/14/22,293.7
7/15/22,288.6
7/16/22,296.82
7/17/22,293.42
7/18/22,288.31
7/19/22,286.9
7/20/22,284.06
7/21/22,285.76
7/22/22,278.96
7/23/22,284.63
7/24/22,287.75
7/25/22,282.08
7/26/22,280.94
7/27/22,284.63
7/28/22,281.51
7/29/22,275.84
7/30/22,284.06
7/31/22,281.23
8/1/22,281.79
8/2/22,282.36
8/3/22,277.83
8/4/22,276.97
8/5/22,272.16
8/6/22,280.09
8/7/22,284.91
8/8/22,277.54
8/9/22,278.68
8/10/22,276.97
8/11/22,275.56
8/12/22,270.74
8/13/22,277.54
8/14/22,280.09
8/15/22,284.35
8/16/22,280.09
8/17/22,275.56
8/18/22,273.86
8/19/22,271.02
8/20/22,279.24
8/21/22,278.39
8/22/22,274.42
8/23/22,271.02
8/24/22,269.6
8/25/22,266.2
8/26/22,268.19
8/27/22,272.16
8/28/22,270.17
8/29/22,273.57
8/30/22,271.3
8/31/22,268.47
9/1/22,260.82
9/2/22,253.44
9/3/22,265.63
9/4/22,266.49
9/5/22,255.43
9/6/22,268.75
9/7/22,267.9
9/8/22,263.93
9/9/22,255.43
9/10/22,261.1
9/11/22,266.2
9/12/22,264.5
9/13/22,263.37
9/14/22,257.13
9/15/22,256.85
9/16/22,254.86
9/17/22,261.95
9/18/22,263.08
9/19/22,262.52
9/20/22,261.1
9/21/22,257.13
9/22/22,259.96
9/23/22,254.01
9/24/22,266.49
9/25/22,266.2
9/26/22,262.52
9/27/22,258.83
9/28/22,251.18
9/29/22,249.19
9/30/22,244.37
10/1/22,251.46
10/2/22,243.24
10/3/22,250.04
10/4/22,247.77
10/5/22,248.34
10/6/22,247.21
10/7/22,246.64
10/8/22,254.58
10/9/22,255.15
10/10/22,253.73
10/11/22,237.85
10/12/22,175.48
10/13/22,182.29
10/14/22,199.3
10/15/22,196.75
10/16/22,204.97
10/17/22,246.64
10/18/22,245.51
10/19/22,240.4
10/20/22,238.42
10/21/22,201.85
10/22/22,206.67
10/23/22,195.04
10/24/22,164.71
10/25/22,188.52
10/26/22,178.03
10/27/22,230.48
10/28/22,199.86
