Date, Total 
3/24/2023, $700.00 
3/24/2023," $1,400.00 "
3/24/2023," $8,478.00 "
3/24/2023," $7,951.50 "
3/24/2023," $2,800.00 "
3/24/2023," $9,478.56 "
3/24/2023," $1,750.00 "
3/27/2023, $500.01 
3/27/2023," $8,449.00 "
3/27/2023," $6,504.00 "
3/27/2023," $5,472.00 "
3/27/2023, $910.00 
3/27/2023," $1,824.00 "
3/28/2023," $14,483.11 "
3/28/2023," $24,338.51 "
3/28/2023," $26,823.50 "
3/28/2023, $-   
3/28/2023, $-   
3/29/2023," $5,260.00 "
3/29/2023, $991.08 
3/29/2023, $991.08 
3/30/2023," $18,349.20 "
3/30/2023," $1,400.00 "
3/30/2023," $7,290.00 "
3/30/2023," $1,400.00 "
3/30/2023, $756.00 
3/30/2023," $1,400.00 "
3/30/2023," $1,725.00 "
3/30/2023, $-   
3/30/2023," $4,929.52 "
3/30/2023," $5,686.00 "
3/30/2023," $11,221.20 "
3/31/2023," $8,402.40 "
3/31/2023," $1,750.00 "
3/31/2023," $5,054.40 "
3/31/2023, $350.00 
3/31/2023," $4,600.80 "
3/31/2023, $175.00 
3/31/2023," $1,050.00 "
4/4/2023, $-   
4/4/2023," $6,928.00 "
4/4/2023," $26,759.70 "
4/5/2023," $28,080.00 "
4/5/2023," $5,341.00 "
4/5/2023, $200.00 
4/7/2023," $11,844.00 "
4/7/2023," $1,400.00 "
4/7/2023," $13,543.20 "
4/7/2023, $500.01 
4/10/2023," $5,059.80 "
4/10/2023, $700.00 
4/10/2023," $4,276.80 "
4/10/2023, $175.00 
4/10/2023," $6,757.00 "
4/10/2023," $10,735.20 "
4/10/2023," $1,400.00 "
4/10/2023, $700.00 
4/10/2023," $4,233.60 "
4/10/2023," $6,810.36 "
4/10/2023," $2,754.00 "
4/10/2023, $700.00 
4/10/2023," $7,248.00 "
4/10/2023," $10,476.00 "
4/11/2023," $1,260.00 "
4/11/2023," $1,706.00 "
4/12/2023," $15,279.53 "
4/12/2023," $10,133.92 "
4/12/2023," $5,580.00 "
4/12/2023," $14,580.00 "
4/12/2023," $7,290.00 "
4/12/2023," $13,740.00 "
4/12/2023," $5,976.00 "
4/12/2023," $2,958.00 "
4/12/2023," $7,518.00 "
4/12/2023, $200.00 
4/12/2023, $100.00 
4/12/2023," $1,356.00 "
4/13/2023," $24,077.10 "
4/13/2023," $2,100.00 "
4/13/2023," $2,100.00 "
4/13/2023," $20,262.30 "
4/13/2023," $24,051.60 "
4/13/2023," $2,100.00 "
4/13/2023, $700.00 
4/13/2023," $6,793.20 "
4/13/2023, $800.02 
4/14/2023, $-   
4/14/2023," $1,356.00 "
4/14/2023," $3,191.40 "
4/14/2023," $4,300.00 "
4/16/2023," $11,265.90 "
4/17/2023," $3,477.60 "
4/17/2023," $2,055.60 "
4/17/2023," $2,100.00 "
4/17/2023," $3,768.00 "
4/17/2023," $3,060.00 "
